"Time","Temperature","Humidity","CO2","Sensor Name"
2024-03-15 13:19:35,23.4 °C,79 %H,507 ppm,AM319-Sensor_1
2024-03-15 13:18:45,23.2 °C,80.5 %H,500 ppm,AM103-Sensor_4
2024-03-15 13:18:34,23.5 °C,81.5 %H,597 ppm,AM307-Sensor_2
2024-03-15 13:18:28,24 °C,77 %H,471 ppm,AM319-Sensor_3
2024-03-15 13:12:08,23 °C,81.5 %H,807 ppm,AM103L-Sensor_5
2024-03-15 13:09:35,23.3 °C,79 %H,491 ppm,AM319-Sensor_1
2024-03-15 13:08:41,23.1 °C,80.5 %H,507 ppm,AM103-Sensor_4
2024-03-15 13:08:34,23.3 °C,81 %H,554 ppm,AM307-Sensor_2
2024-03-15 13:08:28,23.7 °C,77.5 %H,477 ppm,AM319-Sensor_3
2024-03-15 13:02:08,23.2 °C,78.5 %H,813 ppm,AM103L-Sensor_5
2024-03-15 12:59:35,23.4 °C,79 %H,502 ppm,AM319-Sensor_1
2024-03-15 12:58:45,23.2 °C,80.5 %H,495 ppm,AM103-Sensor_4
2024-03-15 12:58:34,23.5 °C,81.5 %H,621 ppm,AM307-Sensor_2
2024-03-15 12:58:28,24 °C,77.5 %H,478 ppm,AM319-Sensor_3
2024-03-15 12:52:08,23.1 °C,81.5 %H,809 ppm,AM103L-Sensor_5
2024-03-15 12:49:35,23.3 °C,79 %H,493 ppm,AM319-Sensor_1
2024-03-15 12:48:42,23.1 °C,80.5 %H,495 ppm,AM103-Sensor_4
2024-03-15 12:48:34,23.4 °C,81.5 %H,533 ppm,AM307-Sensor_2
2024-03-15 12:48:28,23.7 °C,77.5 %H,470 ppm,AM319-Sensor_3
2024-03-15 12:42:08,23.1 °C,78.5 %H,821 ppm,AM103L-Sensor_5
2024-03-15 12:39:35,23.4 °C,79 %H,491 ppm,AM319-Sensor_1
2024-03-15 12:38:44,23.2 °C,80.5 %H,493 ppm,AM103-Sensor_4
2024-03-15 12:38:34,23.5 °C,81.5 %H,542 ppm,AM307-Sensor_2
2024-03-15 12:38:28,24 °C,77.5 %H,468 ppm,AM319-Sensor_3
2024-03-15 12:32:07,23.1 °C,81.5 %H,815 ppm,AM103L-Sensor_5
2024-03-15 12:29:35,23.3 °C,79 %H,488 ppm,AM319-Sensor_1
2024-03-15 12:28:46,23.2 °C,81 %H,490 ppm,AM103-Sensor_4
2024-03-15 12:28:34,23.4 °C,81.5 %H,495 ppm,AM307-Sensor_2
2024-03-15 12:28:28,23.7 °C,77.5 %H,470 ppm,AM319-Sensor_3
2024-03-15 12:22:04,23.1 °C,78.5 %H,775 ppm,AM103L-Sensor_5
2024-03-15 12:19:35,23.4 °C,79 %H,495 ppm,AM319-Sensor_1
2024-03-15 12:18:43,23.3 °C,80.5 %H,490 ppm,AM103-Sensor_4
2024-03-15 12:18:34,23.4 °C,81.5 %H,552 ppm,AM307-Sensor_2
2024-03-15 12:18:28,24 °C,77 %H,464 ppm,AM319-Sensor_3
2024-03-15 12:12:09,23 °C,81 %H,781 ppm,AM103L-Sensor_5
2024-03-15 12:09:35,23.3 °C,79.5 %H,489 ppm,AM319-Sensor_1
2024-03-15 12:08:42,23.1 °C,81 %H,476 ppm,AM103-Sensor_4
2024-03-15 12:08:34,23.4 °C,81.5 %H,523 ppm,AM307-Sensor_2
2024-03-15 12:08:28,23.8 °C,77.5 %H,465 ppm,AM319-Sensor_3
2024-03-15 12:02:04,23.1 °C,78.5 %H,803 ppm,AM103L-Sensor_5
2024-03-15 11:59:35,23.4 °C,79 %H,491 ppm,AM319-Sensor_1
2024-03-15 11:58:42,23.2 °C,80.5 %H,491 ppm,AM103-Sensor_4
2024-03-15 11:58:34,23.4 °C,82 %H,572 ppm,AM307-Sensor_2
2024-03-15 11:58:28,24.1 °C,77 %H,464 ppm,AM319-Sensor_3
2024-03-15 11:52:06,23.2 °C,81.5 %H,777 ppm,AM103L-Sensor_5
2024-03-15 11:49:35,23.3 °C,79.5 %H,484 ppm,AM319-Sensor_1
2024-03-15 11:48:46,23.1 °C,81 %H,478 ppm,AM103-Sensor_4
2024-03-15 11:48:34,23.4 °C,82 %H,491 ppm,AM307-Sensor_2
2024-03-15 11:48:28,23.8 °C,77.5 %H,462 ppm,AM319-Sensor_3
2024-03-15 11:42:08,23.1 °C,79 %H,796 ppm,AM103L-Sensor_5
2024-03-15 11:39:35,23.4 °C,79 %H,481 ppm,AM319-Sensor_1
2024-03-15 11:38:45,23.2 °C,80 %H,470 ppm,AM103-Sensor_4
2024-03-15 11:38:34,23.5 °C,82 %H,538 ppm,AM307-Sensor_2
2024-03-15 11:38:28,24.1 °C,76.5 %H,464 ppm,AM319-Sensor_3
2024-03-15 11:32:07,23 °C,81.5 %H,769 ppm,AM103L-Sensor_5
2024-03-15 11:29:35,23.3 °C,79.5 %H,482 ppm,AM319-Sensor_1
2024-03-15 11:28:44,23 °C,81.5 %H,488 ppm,AM103-Sensor_4
2024-03-15 11:28:34,23.3 °C,82 %H,491 ppm,AM307-Sensor_2
2024-03-15 11:28:28,23.7 °C,78 %H,455 ppm,AM319-Sensor_3
2024-03-15 11:22:08,23.1 °C,80.5 %H,787 ppm,AM103L-Sensor_5
2024-03-15 11:19:35,23.3 °C,78.5 %H,484 ppm,AM319-Sensor_1
2024-03-15 11:18:43,23 °C,78.5 %H,474 ppm,AM103-Sensor_4
2024-03-15 11:18:34,23.4 °C,80.5 %H,554 ppm,AM307-Sensor_2
2024-03-15 11:18:28,23.9 °C,74.5 %H,458 ppm,AM319-Sensor_3
2024-03-15 11:12:09,23.2 °C,81.5 %H,800 ppm,AM103L-Sensor_5
2024-03-15 11:09:35,23.3 °C,79.5 %H,477 ppm,AM319-Sensor_1
2024-03-15 11:08:44,23.1 °C,81.5 %H,458 ppm,AM103-Sensor_4
2024-03-15 11:08:34,23.3 °C,82 %H,526 ppm,AM307-Sensor_2
2024-03-15 11:08:28,23.8 °C,78 %H,463 ppm,AM319-Sensor_3
2024-03-15 11:02:08,22.9 °C,81.5 %H,798 ppm,AM103L-Sensor_5
2024-03-15 10:59:35,23.1 °C,79.5 %H,477 ppm,AM319-Sensor_1
2024-03-15 10:58:44,23 °C,81 %H,467 ppm,AM103-Sensor_4
2024-03-15 10:58:34,23.2 °C,81.5 %H,544 ppm,AM307-Sensor_2
2024-03-15 10:58:28,23.4 °C,77.5 %H,461 ppm,AM319-Sensor_3
2024-03-15 10:52:06,22.9 °C,78.5 %H,797 ppm,AM103L-Sensor_5
2024-03-15 10:49:35,23.2 °C,79 %H,480 ppm,AM319-Sensor_1
2024-03-15 10:48:45,23.1 °C,80 %H,485 ppm,AM103-Sensor_4
2024-03-15 10:48:34,23.3 °C,81.5 %H,522 ppm,AM307-Sensor_2
2024-03-15 10:48:27,23.6 °C,76.5 %H,457 ppm,AM319-Sensor_3
2024-03-15 10:42:08,23 °C,81.5 %H,763 ppm,AM103L-Sensor_5
2024-03-15 10:39:35,23.1 °C,79 %H,471 ppm,AM319-Sensor_1
2024-03-15 10:38:41,22.9 °C,80 %H,464 ppm,AM103-Sensor_4
2024-03-15 10:38:34,23.2 °C,81 %H,492 ppm,AM307-Sensor_2
2024-03-15 10:38:27,23.5 °C,76.5 %H,456 ppm,AM319-Sensor_3
2024-03-15 10:32:07,23.1 °C,79 %H,798 ppm,AM103L-Sensor_5
2024-03-15 10:29:35,23.2 °C,79.5 %H,477 ppm,AM319-Sensor_1
2024-03-15 10:28:44,23.1 °C,81.5 %H,470 ppm,AM103-Sensor_4
2024-03-15 10:28:34,23.3 °C,82.5 %H,554 ppm,AM307-Sensor_2
2024-03-15 10:28:27,23.8 °C,78 %H,458 ppm,AM319-Sensor_3
2024-03-15 10:22:05,23 °C,81.5 %H,806 ppm,AM103L-Sensor_5
2024-03-15 10:19:35,23.1 °C,79 %H,475 ppm,AM319-Sensor_1
2024-03-15 10:18:44,23 °C,80 %H,474 ppm,AM103-Sensor_4
2024-03-15 10:18:34,23.2 °C,81 %H,549 ppm,AM307-Sensor_2
2024-03-15 10:18:27,23.5 °C,76.5 %H,451 ppm,AM319-Sensor_3
2024-03-15 10:12:09,23 °C,78.5 %H,784 ppm,AM103L-Sensor_5
2024-03-15 10:09:35,23.3 °C,79.5 %H,478 ppm,AM319-Sensor_1
2024-03-15 10:08:45,23.2 °C,81.5 %H,480 ppm,AM103-Sensor_4
2024-03-15 10:08:34,23.4 °C,82.5 %H,566 ppm,AM307-Sensor_2
2024-03-15 10:08:27,23.8 °C,77.5 %H,460 ppm,AM319-Sensor_3
2024-03-15 10:02:09,23 °C,81.5 %H,796 ppm,AM103L-Sensor_5
2024-03-15 09:59:35,23.2 °C,79 %H,482 ppm,AM319-Sensor_1
2024-03-15 09:58:42,23 °C,80.5 %H,471 ppm,AM103-Sensor_4
2024-03-15 09:58:34,23.3 °C,81 %H,498 ppm,AM307-Sensor_2
2024-03-15 09:58:28,23.6 °C,76.5 %H,457 ppm,AM319-Sensor_3
2024-03-15 09:52:08,23 °C,78 %H,794 ppm,AM103L-Sensor_5
2024-03-15 09:49:35,23.3 °C,79.5 %H,476 ppm,AM319-Sensor_1
2024-03-15 09:48:46,23.2 °C,81.5 %H,474 ppm,AM103-Sensor_4
2024-03-15 09:48:34,23.4 °C,82.5 %H,535 ppm,AM307-Sensor_2
2024-03-15 09:48:28,23.9 °C,77.5 %H,459 ppm,AM319-Sensor_3
2024-03-15 09:42:09,23.1 °C,81.5 %H,787 ppm,AM103L-Sensor_5
2024-03-15 09:39:35,23.3 °C,79 %H,479 ppm,AM319-Sensor_1
2024-03-15 09:38:43,23 °C,80.5 %H,469 ppm,AM103-Sensor_4
2024-03-15 09:38:34,23.3 °C,81 %H,556 ppm,AM307-Sensor_2
2024-03-15 09:38:28,23.7 °C,76.5 %H,462 ppm,AM319-Sensor_3
2024-03-15 09:32:05,23.1 °C,78.5 %H,801 ppm,AM103L-Sensor_5
2024-03-15 09:29:35,23.4 °C,79.5 %H,482 ppm,AM319-Sensor_1
2024-03-15 09:28:44,23.3 °C,82 %H,482 ppm,AM103-Sensor_4
2024-03-15 09:28:34,23.4 °C,82 %H,570 ppm,AM307-Sensor_2
2024-03-15 09:28:28,24 °C,77 %H,460 ppm,AM319-Sensor_3
2024-03-15 09:22:07,23 °C,81.5 %H,805 ppm,AM103L-Sensor_5
2024-03-15 09:19:35,23.3 °C,78.5 %H,476 ppm,AM319-Sensor_1
2024-03-15 09:18:42,23.1 °C,80.5 %H,478 ppm,AM103-Sensor_4
2024-03-15 09:18:34,23.3 °C,81 %H,533 ppm,AM307-Sensor_2
2024-03-15 09:18:28,23.7 °C,76.5 %H,459 ppm,AM319-Sensor_3
2024-03-15 09:12:05,23.1 °C,78 %H,777 ppm,AM103L-Sensor_5
2024-03-15 09:09:35,23.5 °C,79 %H,486 ppm,AM319-Sensor_1
2024-03-15 09:08:46,23.3 °C,81 %H,486 ppm,AM103-Sensor_4
2024-03-15 09:08:34,23.5 °C,82 %H,541 ppm,AM307-Sensor_2
2024-03-15 09:08:28,24.1 °C,77 %H,467 ppm,AM319-Sensor_3
2024-03-15 09:02:05,23.2 °C,81 %H,788 ppm,AM103L-Sensor_5
2024-03-15 08:59:35,23.4 °C,78.5 %H,488 ppm,AM319-Sensor_1
2024-03-15 08:58:47,23.2 °C,79.5 %H,483 ppm,AM103-Sensor_4
2024-03-15 08:58:34,23.4 °C,80.5 %H,507 ppm,AM307-Sensor_2
2024-03-15 08:58:27,23.9 °C,75.5 %H,462 ppm,AM319-Sensor_3
2024-03-15 08:52:09,23.4 °C,80 %H,784 ppm,AM103L-Sensor_5
2024-03-15 08:49:35,23.5 °C,78.5 %H,491 ppm,AM319-Sensor_1
2024-03-15 08:48:45,23.3 °C,81 %H,477 ppm,AM103-Sensor_4
2024-03-15 08:48:34,23.6 °C,81.5 %H,528 ppm,AM307-Sensor_2
2024-03-15 08:48:27,24 °C,77 %H,468 ppm,AM319-Sensor_3
2024-03-15 08:42:08,23.2 °C,80.5 %H,816 ppm,AM103L-Sensor_5
2024-03-15 08:39:35,23.4 °C,77.5 %H,482 ppm,AM319-Sensor_1
2024-03-15 08:38:43,23.3 °C,79 %H,494 ppm,AM103-Sensor_4
2024-03-15 08:38:34,23.5 °C,79.5 %H,570 ppm,AM307-Sensor_2
2024-03-15 08:38:27,23.8 °C,75 %H,473 ppm,AM319-Sensor_3
2024-03-15 08:32:07,23.3 °C,78.5 %H,800 ppm,AM103L-Sensor_5
2024-03-15 08:29:35,23.6 °C,78 %H,493 ppm,AM319-Sensor_1
2024-03-15 08:28:42,23.4 °C,79.5 %H,484 ppm,AM103-Sensor_4
2024-03-15 08:28:34,23.7 °C,80.5 %H,568 ppm,AM307-Sensor_2
2024-03-15 08:28:27,23.9 °C,75.5 %H,471 ppm,AM319-Sensor_3
2024-03-15 08:22:07,23.4 °C,77.5 %H,792 ppm,AM103L-Sensor_5
2024-03-15 08:19:35,23.7 °C,77 %H,493 ppm,AM319-Sensor_1
2024-03-15 08:18:44,23.5 °C,77.5 %H,493 ppm,AM103-Sensor_4
2024-03-15 08:18:34,23.8 °C,79 %H,545 ppm,AM307-Sensor_2
2024-03-15 08:18:27,24.2 °C,73 %H,475 ppm,AM319-Sensor_3
2024-03-15 08:12:07,23.6 °C,78.5 %H,805 ppm,AM103L-Sensor_5
2024-03-15 08:09:35,23.9 °C,76.5 %H,480 ppm,AM319-Sensor_1
2024-03-15 08:08:46,23.6 °C,76.5 %H,491 ppm,AM103-Sensor_4
2024-03-15 08:08:34,24 °C,77.5 %H,522 ppm,AM307-Sensor_2
2024-03-15 08:08:27,24.6 °C,71.5 %H,470 ppm,AM319-Sensor_3
2024-03-15 08:02:05,24.1 °C,76.5 %H,794 ppm,AM103L-Sensor_5
2024-03-15 07:59:35,24.3 °C,78 %H,491 ppm,AM319-Sensor_1
2024-03-15 07:58:45,24.2 °C,79 %H,489 ppm,AM103-Sensor_4
2024-03-15 07:58:34,24.4 °C,80.5 %H,480 ppm,AM307-Sensor_2
2024-03-15 07:58:27,25.5 °C,73 %H,475 ppm,AM319-Sensor_3
2024-03-15 07:52:09,24 °C,79 %H,803 ppm,AM103L-Sensor_5
2024-03-15 07:49:35,24.3 °C,78 %H,481 ppm,AM319-Sensor_1
2024-03-15 07:48:42,24.1 °C,79 %H,489 ppm,AM103-Sensor_4
2024-03-15 07:48:34,24.4 °C,80.5 %H,532 ppm,AM307-Sensor_2
2024-03-15 07:48:27,25.5 °C,73 %H,481 ppm,AM319-Sensor_3
2024-03-15 07:42:06,24.1 °C,79 %H,791 ppm,AM103L-Sensor_5
2024-03-15 07:39:35,24.3 °C,78 %H,481 ppm,AM319-Sensor_1
2024-03-15 07:38:43,24.1 °C,79 %H,483 ppm,AM103-Sensor_4
2024-03-15 07:38:34,24.4 °C,80.5 %H,575 ppm,AM307-Sensor_2
2024-03-15 07:38:27,25.5 °C,73 %H,481 ppm,AM319-Sensor_3
2024-03-15 07:32:09,24.1 °C,79 %H,804 ppm,AM103L-Sensor_5
2024-03-15 07:29:35,24.3 °C,78 %H,491 ppm,AM319-Sensor_1
2024-03-15 07:28:45,24.1 °C,79 %H,497 ppm,AM103-Sensor_4
2024-03-15 07:28:34,24.4 °C,80.5 %H,506 ppm,AM307-Sensor_2
2024-03-15 07:28:27,25.5 °C,73 %H,477 ppm,AM319-Sensor_3
2024-03-15 07:22:08,24.1 °C,79 %H,804 ppm,AM103L-Sensor_5
2024-03-15 07:19:35,24.3 °C,78 %H,487 ppm,AM319-Sensor_1
2024-03-15 07:18:44,24.1 °C,79 %H,480 ppm,AM103-Sensor_4
2024-03-15 07:18:34,24.4 °C,80.5 %H,563 ppm,AM307-Sensor_2
2024-03-15 07:18:27,25.5 °C,73 %H,489 ppm,AM319-Sensor_3
2024-03-15 07:12:06,24.1 °C,79 %H,794 ppm,AM103L-Sensor_5
2024-03-15 07:09:35,24.3 °C,78 %H,487 ppm,AM319-Sensor_1
2024-03-15 07:08:45,24.1 °C,79 %H,492 ppm,AM103-Sensor_4
2024-03-15 07:08:34,24.4 °C,80.5 %H,501 ppm,AM307-Sensor_2
2024-03-15 07:08:27,25.4 °C,73 %H,478 ppm,AM319-Sensor_3
2024-03-15 07:02:08,24 °C,79 %H,823 ppm,AM103L-Sensor_5
2024-03-15 06:59:35,24.3 °C,78 %H,495 ppm,AM319-Sensor_1
2024-03-15 06:58:44,24.1 °C,79 %H,492 ppm,AM103-Sensor_4
2024-03-15 06:58:34,24.4 °C,80.5 %H,512 ppm,AM307-Sensor_2
2024-03-15 06:58:27,25.5 °C,72.5 %H,482 ppm,AM319-Sensor_3
2024-03-15 06:52:09,24.1 °C,79 %H,807 ppm,AM103L-Sensor_5
2024-03-15 06:49:35,24.3 °C,78 %H,489 ppm,AM319-Sensor_1
2024-03-15 06:48:44,24.2 °C,79 %H,493 ppm,AM103-Sensor_4
2024-03-15 06:48:34,24.3 °C,80 %H,615 ppm,AM307-Sensor_2
2024-03-15 06:48:27,25.5 °C,73 %H,486 ppm,AM319-Sensor_3
2024-03-15 06:42:10,24.1 °C,79 %H,820 ppm,AM103L-Sensor_5
2024-03-15 06:39:35,24.3 °C,78 %H,496 ppm,AM319-Sensor_1
2024-03-15 06:38:43,24.1 °C,79 %H,497 ppm,AM103-Sensor_4
2024-03-15 06:38:34,24.4 °C,80 %H,495 ppm,AM307-Sensor_2
2024-03-15 06:38:27,25.5 °C,73 %H,484 ppm,AM319-Sensor_3
2024-03-15 06:32:09,24 °C,79 %H,817 ppm,AM103L-Sensor_5
2024-03-15 06:29:35,24.3 °C,78 %H,499 ppm,AM319-Sensor_1
2024-03-15 06:28:45,24.1 °C,79 %H,496 ppm,AM103-Sensor_4
2024-03-15 06:28:34,24.3 °C,80 %H,577 ppm,AM307-Sensor_2
2024-03-15 06:28:27,25.5 °C,73 %H,483 ppm,AM319-Sensor_3
2024-03-15 06:22:09,24.1 °C,79 %H,793 ppm,AM103L-Sensor_5
2024-03-15 06:19:35,24.3 °C,78 %H,498 ppm,AM319-Sensor_1
2024-03-15 06:18:46,24.1 °C,78.5 %H,501 ppm,AM103-Sensor_4
2024-03-15 06:18:34,24.4 °C,80 %H,598 ppm,AM307-Sensor_2
2024-03-15 06:18:27,25.5 °C,73 %H,483 ppm,AM319-Sensor_3
2024-03-15 06:12:06,24.1 °C,79 %H,804 ppm,AM103L-Sensor_5
2024-03-15 06:09:35,24.3 °C,78 %H,492 ppm,AM319-Sensor_1
2024-03-15 06:08:44,24 °C,78.5 %H,500 ppm,AM103-Sensor_4
2024-03-15 06:08:34,24.4 °C,80 %H,554 ppm,AM307-Sensor_2
2024-03-15 06:08:27,25.5 °C,72.5 %H,486 ppm,AM319-Sensor_3
2024-03-15 06:02:06,24 °C,79 %H,812 ppm,AM103L-Sensor_5
2024-03-15 05:59:35,24.3 °C,78 %H,502 ppm,AM319-Sensor_1
2024-03-15 05:58:43,24.1 °C,79 %H,486 ppm,AM103-Sensor_4
2024-03-15 05:58:34,24.4 °C,80 %H,575 ppm,AM307-Sensor_2
2024-03-15 05:58:27,25.5 °C,73 %H,485 ppm,AM319-Sensor_3
2024-03-15 05:52:07,24.1 °C,79 %H,804 ppm,AM103L-Sensor_5
2024-03-15 05:49:35,24.3 °C,78 %H,502 ppm,AM319-Sensor_1
2024-03-15 05:48:45,24.1 °C,78.5 %H,504 ppm,AM103-Sensor_4
2024-03-15 05:48:34,24.3 °C,80 %H,585 ppm,AM307-Sensor_2
2024-03-15 05:48:27,25.4 °C,73 %H,485 ppm,AM319-Sensor_3
2024-03-15 05:42:07,24.1 °C,79 %H,843 ppm,AM103L-Sensor_5
2024-03-15 05:39:35,24.3 °C,78 %H,506 ppm,AM319-Sensor_1
2024-03-15 05:38:43,24 °C,78.5 %H,505 ppm,AM103-Sensor_4
2024-03-15 05:38:34,24.4 °C,80 %H,597 ppm,AM307-Sensor_2
2024-03-15 05:38:27,25.4 °C,73 %H,487 ppm,AM319-Sensor_3
2024-03-15 05:32:08,24.1 °C,79 %H,796 ppm,AM103L-Sensor_5
2024-03-15 05:29:35,24.3 °C,78 %H,512 ppm,AM319-Sensor_1
2024-03-15 05:28:44,24.1 °C,79 %H,485 ppm,AM103-Sensor_4
2024-03-15 05:28:34,24.3 °C,80 %H,532 ppm,AM307-Sensor_2
2024-03-15 05:28:27,25.5 °C,72.5 %H,492 ppm,AM319-Sensor_3
2024-03-15 05:22:06,24.1 °C,79 %H,817 ppm,AM103L-Sensor_5
2024-03-15 05:19:35,24.3 °C,78 %H,495 ppm,AM319-Sensor_1
2024-03-15 05:18:45,24 °C,78.5 %H,498 ppm,AM103-Sensor_4
2024-03-15 05:18:34,24.3 °C,80 %H,536 ppm,AM307-Sensor_2
2024-03-15 05:18:27,25.4 °C,72.5 %H,497 ppm,AM319-Sensor_3
